"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\sean_\Desktop\FamilyApp\client\build\asset-manifest.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\sean_\Desktop\FamilyApp\client\build\index.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\sean_\Desktop\FamilyApp\client\build\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\sean_\Desktop\FamilyApp\client\build\static\css\main.883e3c3a.css", "CSS", 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\sean_\Desktop\FamilyApp\client\build\static\js\main.0be59910.js", "JavaScript", 0, 1, 0, 0, 0, 2, 0, 3
"c:\Users\sean_\Desktop\FamilyApp\client\package-lock.json", "JSON", 28933, 0, 0, 0, 0, 0, 1, 28934
"c:\Users\sean_\Desktop\FamilyApp\client\package.json", "JSON", 50, 0, 0, 0, 0, 0, 1, 51
"c:\Users\sean_\Desktop\FamilyApp\client\public\index.html", "HTML", 0, 0, 29, 0, 0, 2, 5, 36
"c:\Users\sean_\Desktop\FamilyApp\client\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\sean_\Desktop\FamilyApp\client\src\App.css", "CSS", 0, 0, 0, 453, 0, 18, 75, 546
"c:\Users\sean_\Desktop\FamilyApp\client\src\App.js", "JavaScript", 0, 53, 0, 0, 0, 1, 15, 69
"c:\Users\sean_\Desktop\FamilyApp\client\src\GENERAL TODOS\TODOS.md", "Markdown", 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\sean_\Desktop\FamilyApp\client\src\actions\alert.js", "JavaScript", 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\sean_\Desktop\FamilyApp\client\src\actions\auth.js", "JavaScript", 0, 83, 0, 0, 0, 4, 16, 103
"c:\Users\sean_\Desktop\FamilyApp\client\src\actions\post.js", "JavaScript", 0, 163, 0, 0, 0, 8, 23, 194
"c:\Users\sean_\Desktop\FamilyApp\client\src\actions\profile.js", "JavaScript", 0, 83, 0, 0, 0, 20, 18, 121
"c:\Users\sean_\Desktop\FamilyApp\client\src\actions\types.js", "JavaScript", 0, 21, 0, 0, 0, 0, 6, 27
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\layout\Alert.js", "JavaScript", 0, 19, 0, 0, 0, 0, 5, 24
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\layout\Hourglass.js", "JavaScript", 0, 12, 0, 0, 0, 1, 4, 17
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\layout\Landing.js", "JavaScript", 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\layout\Login.js", "JavaScript", 0, 73, 0, 0, 0, 1, 14, 88
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\layout\Navbar.js", "JavaScript", 0, 54, 0, 0, 0, 0, 8, 62
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\layout\Register.js", "JavaScript", 0, 104, 0, 0, 0, 1, 16, 121
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\layout\homepage\Homepage.js", "JavaScript", 0, 46, 0, 0, 0, 0, 8, 54
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\post\Comment.js", "JavaScript", 0, 30, 0, 0, 0, 0, 13, 43
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\post\CommentForm.js", "JavaScript", 0, 47, 0, 0, 0, 0, 12, 59
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\post\Post.js", "JavaScript", 0, 48, 0, 0, 0, 0, 8, 56
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\posts\IndividualPost.js", "JavaScript", 0, 60, 0, 0, 0, 0, 5, 65
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\posts\PostForm.js", "JavaScript", 0, 58, 0, 0, 0, 0, 10, 68
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\posts\Posts.js", "JavaScript", 0, 46, 0, 0, 0, 0, 6, 52
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\profiles\EditProfileForm.js", "JavaScript", 0, 183, 0, 0, 0, 1, 29, 213
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\profiles\Profile.js", "JavaScript", 0, 38, 0, 0, 0, 0, 7, 45
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\profiles\ProfileForm.js", "JavaScript", 0, 212, 0, 0, 0, 1, 39, 252
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\profiles\Profiles.js", "JavaScript", 0, 49, 0, 0, 0, 0, 12, 61
"c:\Users\sean_\Desktop\FamilyApp\client\src\components\profiles\SmallProfile.js", "JavaScript", 0, 25, 0, 0, 0, 0, 4, 29
